source_url,target_url,status
https://api.sovereignsanctuary.net/nate/chat,https://api.sovereignsanctuary.net/api/sessions/nate/chat,302
https://api.sovereignsanctuary.net/nate/voice,https://api.sovereignsanctuary.net/api/sessions/nate/voice,302
https://api.sovereignsanctuary.net/nate/summon,https://api.sovereignsanctuary.net/api/summon,302
https://api.sovereignsanctuary.net/nate/health,https://api.sovereignsanctuary.net/api/sessions/nate/health,302
https://api.sovereignsanctuary.net/nate/status,https://api.sovereignsanctuary.net/api/sessions/nate/status,302
https://api.sovereignsanctuary.net/session/start,https://api.sovereignsanctuary.net/api/sessions/schedule,302
https://api.sovereignsanctuary.net/session/end,https://api.sovereignsanctuary.net/api/sessions/complete,302
https://api.sovereignsanctuary.net/session/upcoming,https://api.sovereignsanctuary.net/api/sessions/upcoming,302
https://api.sovereignsanctuary.net/session/history,https://api.sovereignsanctuary.net/api/sessions/history,302
https://api.sovereignsanctuary.net/session/consultation,https://api.sovereignsanctuary.net/api/sessions/consultation-status,302
https://api.sovereignsanctuary.net/predict/foresight,https://api.sovereignsanctuary.net/api/foresight/evaluate,302
https://api.sovereignsanctuary.net/predict/trends,https://api.sovereignsanctuary.net/api/foresight/trends,302
https://api.sovereignsanctuary.net/predict/risk,https://api.sovereignsanctuary.net/api/foresight/risk,302
https://api.sovereignsanctuary.net/predict/health,https://api.sovereignsanctuary.net/api/foresight/health,302
https://api.sovereignsanctuary.net/cycle/crystallizer,https://api.sovereignsanctuary.net/api/crystal/cycle/status,302
https://api.sovereignsanctuary.net/cycle/decay,https://api.sovereignsanctuary.net/api/crystal/decay/scan,302
https://api.sovereignsanctuary.net/cycle/harvest,https://api.sovereignsanctuary.net/api/crystal/harvest,302
https://api.sovereignsanctuary.net/cycle/health,https://api.sovereignsanctuary.net/api/crystal/cycle/health,302
https://api.sovereignsanctuary.net/trust/status,https://api.sovereignsanctuary.net/api/trust-enforcer/status,302
https://api.sovereignsanctuary.net/trust/report,https://api.sovereignsanctuary.net/api/trust-enforcer/report,302
https://api.sovereignsanctuary.net/trust/baseline,https://api.sovereignsanctuary.net/api/trust-enforcer/baseline,302
https://api.sovereignsanctuary.net/audit/trigger,https://api.sovereignsanctuary.net/api/admin/skyeye-audit/send,302
https://api.sovereignsanctuary.net/audit/results,https://api.sovereignsanctuary.net/api/trust-enforcer/results,302
https://api.sovereignsanctuary.net/skyeye/pulse,https://api.sovereignsanctuary.net/api/skyeye/pulse,302
https://api.sovereignsanctuary.net/skyeye/engine,https://api.sovereignsanctuary.net/api/skyeye/engine-status,302
